documentid,property,value
1055541,营养费,500
1055541,损失费,400
1055541,交通费,300
1055541,医疗费,739.10
1057095,租金,30000
1057095,租金,15000
1057095,租金,900000
1058527,案件受理费,1600
1058527,案件受理费,470
1058527,鉴定费,1600
1058527,医疗费,1181.82
1058527,住院伙食补助费,510
1058527,伙食补助费,510
1058527,护理费,2822.5
1058527,误工费,12278
1058527,交通费,500
1058527,交通费,500
1058527,医疗费,9371.72
1058527,住院伙食补助费,510
1058527,伙食补助费,510
1058527,护理费,2822.5
1058527,误工费,12278
1058527,医疗费,9371.72
1058563,案件受理费,300
1070597,精神损害抚慰金,50000
1070597,被扶养人生活费,102816
1070597,死亡赔偿金,803760
1070597,误工费,2000
1070597,交通费,2000
1070597,丧葬费,25984
1070597,律师费,8000
1070597,生活费,102816
1070597,住宿费,2000
1070597,交通费,2000
1070597,赔偿金,803760
1070597,精神损害抚慰金,50000
1070597,被扶养人生活费,102816
1070597,死亡赔偿金,803760
1070597,误工费,2000
1070597,交通费,2000
1070597,丧葬费,25984
1070597,律师费,8000
1070597,生活费,102816
1070597,住宿费,2000
1070597,交通费,2000
1070597,赔偿金,803760
1070597,案件受理费,22802
1114108,赔偿医疗费,10000
1114108,医疗费,10000
1114108,误工费,10584
1114108,护理费,17288
1114108,交通费,200
1114108,交通费,200
1114108,维修费,198
1114108,赔偿医疗费,33757.2
1114108,医疗费,33757.2
1114108,后续治疗费,9000
1114108,治疗费,9000
1114108,住院伙食补助费,432
1114108,伙食补助费,432
1114108,复印费,14.4
1114108,停车费,51.3
1114108,车费,51.3
1114108,鉴定费,2250
1117765,违约金,120000
1121171,医药费,14528.60
1121171,护理费,3469.25
1121171,交通费,252.10
1121171,交通费,252.10
1121171,伙食补助费,1140
1122979,赔偿医疗费,10000
1122979,医疗费,10000
1122979,精神损害抚慰金,50000
1122979,残疾赔偿金,60000
1122979,赔偿金,60000
1122979,赔偿医疗费,20531.19
1122979,医疗费,20531.19
1122979,住院伙食补助费,105
1122979,伙食补助费,105
1122979,残疾赔偿金,47265
1122979,赔偿金,47265
1122979,误工费,11190
1122979,护理费,3480
1122979,交通费,9199.05
1122979,交通费,9199.05
1122979,住宿费,6959
1122979,鉴定费,1250
1122979,赔偿医疗费,20531.19
1122979,医疗费,20531.19
1122979,住院伙食补助费,105
1122979,伙食补助费,105
1122979,残疾赔偿金,47265
1122979,赔偿金,47265
1122979,误工费,11190
1122979,护理费,3480
1122979,交通费,9199.05
1122979,交通费,9199.05
1122979,住宿费,6959
1122979,鉴定费,1250
1123245,价款,51000
1123245,丧葬费,20850
1126064,赔偿金,40000
1126064,违约金,296000
1126064,房款,10000
1128090,律师费,14000
1137624,违约金,791420
1137624,购房款,791420
1137624,房款,791420
1137634,违约金,50000
1137634,违约金,100000
1137634,违约金,182400
1137634,违约金,841200
1138366,保证金,16177.40
1138366,租金,4311.60
1138366,物业管理费,301.98
1138366,电费,14.89
1138366,电费,221.74
1138366,律师费,1220
1138378,保证金,15830.10
1138378,租金,4215
1138378,物业管理费,300.30
1138378,电费,0.9
1138378,电费,220.51
1138378,律师费,1194
1142960,精神损害抚慰金,10000
1142960,住院伙食补助费,10000
1142960,伙食补助费,10000
1142960,残疾赔偿金,10000
1142960,财产损失,1
1142960,财产损失,1
1142960,误工费,10000
1142960,误工费,1
1142960,交通费,10000
1142960,交通费,1
1142960,营养费,10000
1142960,交通费,10000
1142960,交通费,1
1142960,赔偿金,10000
1142960,医疗费,10000
1142960,鉴定费,1
1143306,精神损害抚慰金,45000
1143306,住院伙食补助费,4260
1143306,被抚养人生活费,801419.40
1143306,伙食补助费,4260
1143306,残疾赔偿金,801419.40
1143306,护理费,362284
1143306,误工费,14560
1143306,营养费,7200
1143306,生活费,801419.40
1143306,赔偿金,801419.40
1143306,医疗费,195744.74
1143306,鉴定费,2300
1143887,租金,308997
1143887,违约金,8465
1143887,违约金,308997
1143893,租金,501000
1143893,违约金,86199
1143893,违约金,501000
1143905,租金,2340000
1143905,违约金,802981
1143905,违约金,3440000
1147836,本息合计,96684.80
1147836,本息,96684.80
1147836,欠款,96684.80
1148512,各项损失,588.5
1148800,逾期交房违约金,1211991
1148800,违约金,1211991
1148850,借款,279100
1149193,车辆维修费,107594
1149193,护理费,107594
1149193,交通费,107594
1149193,交通费,107594
1149193,维修费,107594
1149193,衣物损失,73914.28
1149193,鉴定费,73914.28
1149193,诉讼费,1076
1149892,贷款本金,1000000
1149892,律师费,16755
1149892,本金,1000000
1149898,本金,63343.88
1149910,精神损害抚慰金,83338.27
1149910,律师费,83338.27
1149916,律师代理费,24347
1149916,案件受理费,5715.20
1149934,衣物损失,80390.46
1149934,鉴定费,80390.46
1149934,损失费,80390.46
1149964,住院伙食补助费,10000
1149964,伙食补助费,10000
1149964,财产损失,200
1149964,衣物损失,200
1149964,护理费,110000
1149964,误工费,110000
1149964,交通费,110000
1149964,营养费,10000
1149964,损失费,200
1149964,交通费,110000
1149964,住院伙食补助费,25986.44
1149964,伙食补助费,25986.44
1149964,护理费,1153.14
1149964,误工费,1153.14
1149964,交通费,1153.14
1149964,鉴定费,1200
1149964,营养费,25986.44
1149964,交通费,1153.14
1150076,精神损害抚慰金,464585.36
1150076,律师费,464585.36
1150076,精神损害抚慰金,185834.14
1150076,律师费,185834.14
1150081,案件受理费,2364
1150091,价款,2000000
1150091,违约金,100000
1150091,保全费,5000
1150091,案件受理费,24400
1150106,精神损害抚慰金,1000
1150106,交通费,23242.94
1150106,鉴定费,23242.94
1150106,律师费,23242.94
1150106,交通费,23242.94
1151365,服务费,0.48
1151784,诉讼费,2900
1151784,还款,306328.88
1151784,价款,283406.88
1151789,精神损害抚慰金,110000
1151789,医疗费用,10000
1151789,衣物损失,570
1151789,交通费,110000
1151789,损失费,570
1151789,交通费,110000
1151789,修理费,570
1151789,医疗费,10000
1151789,医疗费,10000
1151789,护理费,45647.46
1151789,误工费,45647.46
1151789,交通费,45647.46
1151789,交通费,45647.46
1151789,鉴定费,5900
1151789,律师费,5900
1151801,违约金,4500000
1151801,保证金,125000
1151801,电费,22772.06
1151801,评估费,58000
1151801,案件受理费,83754.11
1151806,押金,77474.40
1151824,租金,44000
1151824,使用费,4033
1151824,保证金,3000
1151839,物业管理费,31699.50
1153999,精神损害抚慰金,10000
1153999,残疾辅助器具费,100000
1153999,住院伙食补助费,10000
1153999,伙食补助费,10000
1153999,交通费,100000
1153999,营养费,10000
1153999,交通费,100000
1153999,鉴定费,76639.27
1153999,律师费,76639.27
1155483,精神损害抚慰金,74519.60
1155483,住院伙食补助费,9180.60
1155483,伙食补助费,9180.60
1155483,衣物损失,1200
1155483,交通费,74519.60
1155483,营养费,9180.60
1155483,施救费,1200
1155483,交通费,74519.60
1155483,修理费,1200
1155483,鉴定费,3624
1155483,律师费,3624
1155483,停车费,3624
1155483,修理费,840
1155483,车费,3624
1155641,医疗费,88926.6
1155641,护理费,8551.23
1155641,住院伙食补助费,2295
1155641,伙食补助费,2295
1155641,误工费,87574.5
1155641,被扶养人生活费,395026.5
1155641,残疾赔偿金,395026.5
1155641,生活费,395026.5
1155641,赔偿金,395026.5
1155641,护理费,193162.5
1155641,交通费,750
1155641,交通费,750
1155641,残疾辅助器具费,3000
1155641,鉴定费,7620
1155641,精神损害抚慰金,37500
1156268,车辆修理费,1570
1156268,护理费,7980
1156268,误工费,7980
1156268,交通费,7980
1156268,营养费,10000
1156268,施救费,1570
1156268,交通费,7980
1156268,修理费,1570
1156268,医疗费,10000
1156268,鉴定费,900
1156268,营养费,4372.10
1156268,律师费,1500
1156268,停车费,35
1156268,医疗费,4372.10
1156268,车费,35
1156394,保证金,8935.35
1156394,违约金,178706.97
1156394,保证金,178706.97
1156986,案件受理费,12972
1156986,保全费,5000
1157014,借款本金,190000
1157014,借款,190000
1157014,还款,100000
1157014,本金,190000
1157199,贷款本金,412317.43
1157199,本金,412317.43
1157235,违约金,198440
1157235,违约金,780000
1157277,医药费,10000
1157277,医药费,14616.97
1157349,一次性伤残就业补助金,42270
1157349,一次性工伤医疗补助金,25362
1157349,一次性伤残补助金,22825.8
1157349,住院伙食补助费,300
1157349,伙食补助费,300
1157349,护理费,1489.4
1157349,鉴定费,280
1157444,公司物业服务费,9833.78
1157444,物业服务费,9833.78
1157444,违约金,3110.28
1157444,违约金,9833.78
1157444,服务费,9833.78
1157462,公司物业服务费,6393.42
1157462,物业服务费,6393.42
1157462,违约金,2256.60
1157462,违约金,6393.42
1157462,服务费,6393.42
1159055,欠款,3764257.03
1159055,违约金,123333.6
1159055,违约金,3681600
1162106,本金,87891.94
1162106,本金,1728.06
1162106,欠款,137436.92
1162106,欠款,87891.94
1162242,滞纳金,10762.82
1162242,本金,149983.69
1162242,欠款,186027.27
1162242,欠款,149983.69
1162395,各项损失,25800
1162395,各项损失,7600.95
1167090,医疗费,832
1167090,误工费,9421
1167090,鉴定费,1400
1168540,保证金,10000
1168540,电费,42079.4
1171229,信用卡欠款本金,24976.03
1171229,本金,24976.03
1171229,欠款,35990.53
1171229,欠款,24976.03
1173710,垫付医疗费,10000
1173710,护理费,2539
1173710,交通费,500
1173710,交通费,500
1173710,医疗费,10000
1173710,医疗费,10000
1173710,住院伙食补助费,54466.4
1173710,伙食补助费,54466.4
1173710,营养费,54466.4
1173710,医疗费,54466.4
1173710,医疗费,13546
1174393,借款本金,84856.18
1174393,借款,84856.18
1174393,本金,84856.18
1174703,垫付医疗费,10000
1174703,护理费,2539
1174703,交通费,500
1174703,交通费,500
1174703,医疗费,10000
1174703,医疗费,10000
1174703,住院伙食补助费,54466.4
1174703,伙食补助费,54466.4
1174703,营养费,54466.4
1174703,医疗费,54466.4
1174703,医疗费,13546
1175417,信用卡欠款本金,21765.65
1175417,本金,21765.65
1175417,欠款,31785.43
1175417,欠款,21765.65
1176328,信用卡欠款本金,49830.98
1176328,本金,49830.98
1176328,欠款,69153.17
1176328,欠款,49830.98
1176334,信用卡欠款本金,32535.17
1176334,本金,32535.17
1176334,欠款,46676.76
1176334,欠款,32535.17
1176340,信用卡欠款本金,22048.11
1176340,本金,22048.11
1176340,欠款,25606.54
1176340,欠款,22048.11
1176468,借款本金,220897.29
1176468,借款,220897.29
1176468,本金,220897.29
1176474,借款本金,116817.30
1176474,借款,116817.30
1176474,本金,116817.30
1176480,借款本金,170993.65
1176480,借款,170993.65
1176480,本金,170993.65
1177288,借款本金,50557.91
1177288,借款,50557.91
1177288,本金,50557.91
1177300,借款本金,126176.38
1177300,借款,126176.38
1177300,本金,126176.38
1189300,借款本金,50000
1189300,借款,50000
1189300,本金,50000
1190410,保证金,14052.50
1190410,租金,3733.40
1190410,使用费,13727.58
1190410,物业管理费,1277.50
1190410,电费,354.90
1190410,违约金,16863
1190650,支行借款本金,797690.64
1190650,借款本金,797690.64
1190650,借款,797690.64
1190650,本金,797690.64
1190650,律师代理费,42747
1203483,电费,13660.80
1203488,服务费,6000
1205173,借款,230000
1205412,精神损害抚慰金,6000
1205412,被扶养人生活费,1389
1205412,住院伙食补助费,120
1205412,伙食补助费,120
1205412,残疾赔偿金,47617
1205412,医疗费用,4957.2
1205412,护理费,3705
1205412,误工费,16786
1205412,交通费,400
1205412,营养费,1000
1205412,生活费,1389
1205412,交通费,400
1205412,赔偿金,47617
1205412,医疗费,4957.2
1205412,医疗费,4957.2
1205412,鉴定费,800
1205418,精神损害抚慰金,1000
1205418,护理费,975
1205418,误工费,2849.4
1205418,交通费,200
1205418,交通费,200
1205418,医疗费,2886.7
1205430,精神损害抚慰金,6000
1205430,被扶养人生活费,555.6
1205430,残疾辅助器具费,650
1205430,残疾赔偿金,46783.6
1205430,财产损失,1000
1205430,医疗费用,3922.8
1205430,生活费,555.6
1205430,停车费,280
1205430,赔偿金,46783.6
1205430,修理费,1000
1205430,医疗费,3922.8
1205430,医疗费,3922.8
1205430,车费,280
1205430,被扶养人生活费,555.6
1205430,住院伙食补助费,510
1205430,伙食补助费,510
1205430,残疾赔偿金,46783.6
1205430,护理费,6825
1205430,误工费,15805
1205430,交通费,700
1205430,鉴定费,800
1205430,营养费,2000
1205430,生活费,555.6
1205430,交通费,700
1205430,赔偿金,46783.6
1205430,医疗费,36876.45
1206544,车辆损失费,1800
1206544,车辆损失,1800
1206544,误工费,1026.2
1206544,损失费,1800
1206544,医疗费,556.3
1207235,租金,19383.28
1207235,租金,692.26
1207431,交通费,300
1207431,交通费,300
1207431,医疗费,7281.75
1207431,医疗费,1013.09
1208438,住院伙食补助费,500
1208438,伙食补助费,500
1208438,精神抚慰金,10000
1208438,残疾赔偿金,160752
1208438,财产损失,500
1208438,医疗费用,10000
1208438,护理费,4800
1208438,误工费,14800
1208438,交通费,350
1208438,营养费,3600
1208438,医药费,51479.33
1208438,交通费,350
1208438,赔偿金,160752
1208438,医疗费,10000
1208438,鉴定费,1800
1208438,律师费,7000
1209224,精神损害抚慰金,500
1209224,残疾赔偿金,25755
1209224,护理费,5397
1209224,交通费,300
1209224,交通费,300
1209224,赔偿金,25755
1209224,医疗费,10000
1209224,精神损害抚慰金,500
1209224,残疾赔偿金,25755
1209224,护理费,5397
1209224,交通费,300
1209224,交通费,300
1209224,赔偿金,25755
1209224,医疗费,10000
1209224,住院伙食补助费,504
1209224,伙食补助费,504
1209224,治疗费,5600
1209224,医疗费,37960
1209224,住院伙食补助费,216
1209224,伙食补助费,216
1209224,治疗费,2400
1209224,鉴定费,750
1209224,医疗费,16268
1209224,鉴定费,1750
1209224,医疗费,54203
1210496,精神损害抚慰金,3500
1210496,各项损失,116459.77
1210496,停车费,2870
1210496,车费,2870
1210496,车费,2870
1210526,精神损害抚慰金,5000
1210526,残疾赔偿金,80376
1210526,车辆损失,300
1210526,衣物损失,200
1210526,误工费,24624
1210526,医药费,10000
1210526,赔偿金,80376
1210526,住院伙食补助费,470
1210526,伙食补助费,470
1210526,护理费,1200
1210526,误工费,15376
1210526,交通费,300
1210526,鉴定费,2300
1210526,营养费,1800
1210526,医药费,41105.66
1210526,交通费,300
1210526,律师费,5000
1221170,支行借款本金,27014.75
1221170,借款本金,27014.75
1221170,借款,27014.75
1221170,本金,27014.75
1224882,律师代理费,10000
1224882,借款本金,500000
1224882,违约金,100000
1224882,借款,500000
1224882,本金,500000
1225298,工程款,29088
1226126,交通费,500
1226126,交通费,500
1226126,维修费,5000
1228012,借款本金,100000
1228012,借款本金,100000
1228012,借款,100000
1228012,借款,100000
1228012,本金,100000
1228012,本金,100000
1228012,本金及利息,100000
1228012,借款本金,100000
1228012,借款,100000
1228012,本金,100000
1228072,借款本金,50000
1228072,借款本金,50000
1228072,借款本金,50000
1228072,借款,50000
1228072,借款,50000
1228072,借款,50000
1228072,本金,50000
1228072,本金,50000
1228072,本金,50000
1228072,本金及利息,50000
1228072,借款本金,50000
1228072,借款,50000
1228072,本金,50000
1230002,信用卡欠款本金,9442.15
1230002,滞纳金,596.48
1230002,本金,9442.15
1230002,欠款,9442.15
1230008,信用卡欠款本金,9891.98
1230008,滞纳金,448.39
1230008,本金,9891.98
1230008,欠款,9891.98
1230014,信用卡欠款本金,7535.72
1230014,滞纳金,371.84
1230014,本金,7535.72
1230014,欠款,7535.72
1230026,信用卡欠款本金,39357.39
1230026,滞纳金,3860.6
1230026,本金,39357.39
1230026,欠款,39357.39
1237553,精神损害抚慰金,8000
1237553,住院伙食补助费,990
1237553,伙食补助费,990
1237553,残疾赔偿金,28644
1237553,护理费,11700
1237553,误工费,13932
1237553,交通费,500
1237553,营养费,1800
1237553,交通费,500
1237553,赔偿金,28644
1237553,借款,3200
1250223,医疗费,10000
1250343,精神损害抚慰金,23000
1250814,精神损害抚慰金,8000
1250814,被扶养人生活费,2862.5
1250814,住院伙食补助费,320
1250814,伙食补助费,320
1250814,残疾赔偿金,16196
1250814,财产损失,2000
1250814,护理费,5850
1250814,误工费,17262
1250814,交通费,600
1250814,营养费,600
1250814,生活费,2862.5
1250814,交通费,600
1250814,赔偿金,16196
1250814,医疗费,6941.65
1250814,财产损失,2000
1250814,鉴定费,1600
1251157,车辆损失费,2000
1251157,车辆损失,2000
1251157,损失费,2000
1251210,滞纳金,292.31
1251210,透支款,4990.97
1251210,本金,4990.97
1251215,车辆损失费,2000
1251215,车辆损失,2000
1251215,损失费,2000
1251215,医疗费,10000
1251215,医疗费,8056.02
1251216,滞纳金,811.43
1251216,滞纳金,172.63
1251216,透支款,2978.5
1251216,本金,2978.5
1251221,滞纳金,409.75
1251221,透支款,5999.64
1251221,本金,5999.64
1251227,滞纳金,507.82
1251227,滞纳金,125.85
1251227,透支款,2158.27
1251227,本金,2158.27
1251238,滞纳金,1027.18
1251238,滞纳金,27.53
1251238,透支款,6160.56
1251238,本金,6160.56
1251245,滞纳金,249.47
1251245,透支款,2925.71
1251245,本金,2925.71
1251251,滞纳金,23.73
1251251,透支款,3896.27
1251251,本金,3896.27
1251257,滞纳金,292.37
1251257,透支款,3954.13
1251257,本金,3954.13
1251263,滞纳金,1871.95
1251263,滞纳金,27.94
1251263,透支款,6052.89
1251263,本金,6052.89
1251274,滞纳金,446.73
1251274,透支款,5971.42
1251274,本金,5971.42
1251280,滞纳金,405.25
1251280,透支款,6442.8
1251280,本金,6442.8
1251285,滞纳金,1606.17
1251285,滞纳金,291.77
1251285,透支款,4994.98
1251285,本金,4994.98
1251290,滞纳金,1225.7
1251290,滞纳金,20.16
1251290,透支款,4471.08
1251290,本金,4471.08
1251295,滞纳金,510.35
1251295,滞纳金,16.44
1251295,透支款,2762.35
1251295,本金,2762.35
1251300,滞纳金,398.94
1251300,透支款,6894.81
1251300,本金,6894.81
1251305,滞纳金,917.20
1251305,滞纳金,213.02
1251305,透支款,3481.48
1251305,本金,3481.48
1251310,滞纳金,288.81
1251310,透支款,4525.31
1251310,本金,4525.31
1251315,滞纳金,80.93
1251315,透支款,2033.23
1251315,本金,2033.23
1251320,滞纳金,581.25
1251320,滞纳金,113.63
1251320,透支款,3403.36
1251320,本金,3403.36
1251325,滞纳金,715.05
1251325,滞纳金,130.1
1251325,透支款,2712.69
1251325,本金,2712.69
1251331,滞纳金,356.04
1251331,透支款,5793.77
1251331,本金,5793.77
1251434,本金,8983755.11
1251434,本金,5994693.86
1251505,精神损害抚慰金,7000
1251505,残疾赔偿金,46228
1251505,财产损失,800
1251505,护理费,5850
1251505,误工费,11071.13
1251505,交通费,400
1251505,交通费,400
1251505,赔偿金,46228
1251505,医疗费,10000
1253708,服务费,180600
1253708,违约金,180600
1253708,违约金,180600
1253708,服务费,180600
1253924,物业管理费,63189.1
1253924,电费,1392.4
1253960,服务费,7075
1253960,违约金,7075
1253960,违约金,7075
1253960,服务费,7075
1253960,律师费,3000
1259889,违约金,1807.09
1260373,借款本金,1250000
1260373,借款,1250000
1260373,本金,1250000
1262654,支付利息,20000
1262654,借款本金,60000
1262654,借款,60000
1262654,本金,60000
1266452,逾期付款违约金,27594.33
1266452,违约金,27594.33
1266452,违约金,27594.33
1266482,透支本金,2741.31
1266482,本金,2741.31
1266811,租金,2000
1268143,后续治疗费,6000
1268143,治疗费,6000
1268143,医疗费,16479
1268143,误工费,5333.26
1268143,护理费,2533.3
1268143,交通费,400
1268143,交通费,400
1268143,鉴定费,2800
1268143,精神损害抚慰金,2000
1271187,违约金,32499
1271286,精神抚慰金,7000
1271286,残疾赔偿金,72868.70
1271286,误工费,72868.70
1271286,交通费,72868.70
1271286,交通费,72868.70
1271286,赔偿金,72868.70
1271286,医疗费,10000
1271286,医疗费,24062.28
1274833,借款本金,500000
1274833,借款,500000
1274833,本金,500000
1280077,借款本金,1038000
1280077,借款,1038000
1280077,本金,1038000
1280397,本息,209427.85
1287522,生活费,1764
1287522,经济补偿金,14000
1287972,生活费,1764
1287972,经济补偿金,5400
1297296,借款,1910000
1297296,本金,410000
1297296,本金,500000
1297296,本金,1000000
1297502,借款本金人民币,5400000
1297502,借款本金,5400000
1297502,借款,5400000
1297502,本金,5400000
1297502,本金,5400000
1297502,本金,2000000
1297502,本金,2200000
1297502,本金,300000
1297502,本金,100000
1297502,借款本金人民币,33000000
1297502,借款本金,33000000
1297502,借款,33000000
1297502,本金,33000000
1297502,本金,25000000
1297502,本金,8000000
1300103,借款,6000000
1300103,本金,4000000
1300103,本金,1460000
1320758,逾期付款违约金,117871
1320758,违约金,117871
1320758,购房款,117871
1320758,房款,117871
1324667,住院伙食补助费,750
1324667,二次手术费,6000
1324667,伙食补助费,750
1324667,精神抚慰金,8000
1324667,残疾赔偿金,39945
1324667,护理费,7830
1324667,交通费,600
1324667,鉴定费,1900
1324667,营养费,1800
1324667,住宿费,315
1324667,交通费,600
1324667,赔偿金,39945
1324667,医疗费,10000
1324667,医疗费,7972.5
1324667,医疗费,31787.5
1329987,各项损失,76494
1331033,借款,30000
1331033,借款,30000
1331033,借款,1500
1331084,滞纳金,128521.5
1336254,借款本金,100000
1336254,借款,100000
1336254,本金,100000
1336321,逾期付款违约金,3877156.38
1336321,违约金,3877156.38
1336321,律师费,30000
1336463,房屋租金,426707
1336463,租金,426707
1336463,违约金,68350
1336463,租金,68350
1336463,租金,137044
1336463,违约金,205566
1336463,保证金,68522
1337542,精神损害抚慰金,13500
1337542,残疾赔偿金,96500
1337542,衣物损失,300
1337542,损失费,300
1337542,赔偿金,96500
1337542,医疗费,10000
1337542,残疾辅助器具费,190
1337542,住院伙食补助费,430
1337542,伙食补助费,430
1337542,残疾赔偿金,120515.20
1337542,护理费,4500
1337542,误工费,11340
1337542,交通费,300
1337542,鉴定费,5300
1337542,营养费,4440
1337542,交通费,300
1337542,赔偿金,120515.20
1337542,医疗费,96389.49
1337542,律师费,6000
1337542,车辆修理费,24500
1337542,停车费,3000
1337542,修理费,24500
1337542,车费,3000
1337557,违约金,6010.14
1337557,保证金,620000
1337557,价款,100
1337557,租金,8498798
1337677,车辆维修费,350
1337677,衣物损失,200
1337677,护理费,1200
1337677,误工费,3240
1337677,交通费,28
1337677,损失费,200
1337677,交通费,28
1337677,医疗费,10000
1337677,维修费,350
1337677,鉴定费,800
1337677,营养费,900
1337677,医疗费,22800.30
1337677,律师费,2000
1337800,精神损害抚慰金,20000
1337800,被扶养人生活费,36960
1337800,死亡赔偿金,348020
1337800,交通费,4500
1337800,丧葬费,28150
1337800,生活费,36960
1337800,住宿费,2700
1337800,交通费,4500
1337800,赔偿金,348020
1337800,医疗费,101344.40
1337800,律师费,9000
1337800,医疗费,52194.40
1337867,一次性伤残就业补助金,21135
1337867,一次性工伤医疗补助金,16908
1337867,一次性伤残补助金,17752
1337867,住院伙食补助费,360
1337867,伙食补助费,360
1337867,护理费,5410.56
1337867,交通费,600
1337867,交通费,600
1337867,医疗费,3156.38
1339519,借款,110000
1339529,精神损害抚慰金,4000
1339529,残疾辅助器具费,398
1339529,住院伙食补助费,420
1339529,伙食补助费,420
1339529,车辆损失费,1300
1339529,残疾赔偿金,160752
1339529,财产损失,1300
1339529,车辆损失,1300
1339529,医疗费用,122181.03
1339529,衣物损失,200
1339529,护理费,6000
1339529,误工费,19827
1339529,交通费,300
1339529,营养费,4200
1339529,损失费,1300
1339529,损失费,200
1339529,交通费,300
1339529,赔偿金,160752
1339529,医疗费,122181.03
1339529,医疗费,122181.03
1339529,医疗费用,46720.41
1339529,鉴定费,720
1339529,停车费,116
1339529,医疗费,46720.41
1339529,车费,116
1339529,鉴定费,720
1339529,停车费,720
1339529,车费,720
1339620,交通费,190830.80
1339620,鉴定费,190830.80
1339620,律师费,190830.80
1339620,交通费,190830.80
1339625,车辆修理费,172314
1339625,修理费,172314
1339625,施救费,6940
1339625,施救费,700
1339625,评估费,3080
1340233,车辆修理费,1037
1340233,修理费,1037
1340233,车辆修理费,8163
1340233,停车费,100
1340233,修理费,8163
1340233,车费,100
1340623,借款,413890.01
1340676,鉴定费,12000
1340676,工程款,45108.34
1340676,逾期付款违约金,3834.2
1340676,违约金,3834.2
1340676,违约金,45108.34
1341252,住院伙食补助费,900
1341252,伙食补助费,900
1341252,营养费,4440
1341252,医疗费,61125.94
1341252,精神损害抚慰金,5000
1341252,残疾赔偿金,40188
1341252,护理费,4440
1341252,交通费,600
1341252,交通费,600
1341252,赔偿金,40188
1341252,住院伙食补助费,900
1341252,伙食补助费,900
1341252,营养费,4440
1341252,医疗费,61125.94
1341252,住院伙食补助费,900
1341252,伙食补助费,900
1341252,营养费,4440
1341252,医疗费,61125.94
1341252,鉴定费,1800
1341252,鉴定费,1800
1344047,借款本金,100000
1344047,借款,100000
1344047,还款,32083.22
1344047,本金,100000
1344206,各项损失,9116.93
1344542,借款,100000
1345881,借款,200000
1345997,借款,280000
1346858,工程款,209492.16
1347175,借款,190000
1347175,借款,190000
1347175,借款,40000
1347175,还款,190000
1347362,各项损失,1397.44
1347487,借款,100000
1347906,各项损失,17327.80
1347916,物业服务费,2568.42
1347916,服务费,2568.42
1347916,物业服务费,49.46
1347916,物业服务费,109.52
1347916,服务费,49.46
1347916,服务费,109.52
1347921,物业服务费,4501.6
1347921,服务费,4501.6
1347921,物业服务费,52.96
1347921,物业服务费,66.2
1347921,服务费,52.96
1347921,服务费,66.2
1348235,使用费,4400
1348235,使用费,26200
1348235,使用费,2200
1348235,使用费,26200
1348235,押金,20000
1352654,精神损害抚慰金,10000
1352654,保险金,155649.55
1353400,本息合计,23257998.26
1353400,贷款本金,23000000
1353400,本息,23257998.26
1353400,本金,23000000
1353450,借款本金,10000000
1353450,借款,10000000
1353450,本金,10000000
1356812,精神损害抚慰金,7000
1356812,律师代理费,471997.35
1356812,鉴定费,471997.35
1358585,借款本金,700000
1358585,借款,700000
